1	2	1
1	5	1
1	6	1
1	11	1
1	22	1
1	26	1
1	33	1
1	38	1
1	41	1
1	48	1
1	51	1
1	57	1
1	62	1
1	64	1
1	66	1
1	74	1
1	79	1
1	80	2
1	82	1
1	87	1
1	89	1
1	91	1
1	94	1
1	103	1
2	3	2
2	4	2
2	5	1
2	7	2
2	9	5
2	11	1
2	12	7
2	13	5
2	17	3
2	19	3
2	20	2
2	21	1
2	25	1
2	27	2
2	29	6
2	30	1
2	31	4
2	32	1
2	33	1
2	34	2
2	38	2
2	39	1
2	40	2
2	41	8
2	42	4
2	47	2
2	48	3
2	50	4
2	51	2
2	52	2
2	53	1
2	54	2
2	55	2
2	56	2
2	57	10
2	59	1
2	61	1
2	62	2
2	63	3
2	65	1
2	67	5
2	68	2
2	69	1
2	70	5
2	72	1
2	74	1
2	75	7
2	77	2
2	80	16
2	81	8
2	84	3
2	85	3
2	86	1
2	87	2
2	91	1
2	92	2
2	93	13
2	94	2
2	95	2
2	96	4
2	97	1
2	98	2
2	102	2
2	104	3
2	105	1
2	107	1
2	108	1
2	109	2
3	12	1
3	28	1
3	30	1
3	34	1
3	39	1
3	40	1
3	51	2
3	52	1
3	53	1
3	55	1
3	58	1
3	63	1
3	66	1
3	68	1
3	77	1
3	80	1
3	88	1
3	91	1
3	92	2
3	94	2
3	97	1
3	101	1
3	105	1
3	107	1
3	108	1
4	12	1
4	13	2
4	33	1
4	40	1
4	42	3
4	50	3
4	55	1
4	57	3
4	63	1
4	66	1
4	67	1
4	68	1
4	70	3
4	74	1
4	75	1
4	84	2
4	85	3
4	92	2
4	93	4
4	109	1
5	7	1
5	17	1
5	18	1
5	33	1
5	34	1
5	38	1
5	43	1
5	44	1
5	47	1
5	48	3
5	49	1
5	51	2
5	57	2
5	62	1
5	66	1
5	70	1
5	74	1
5	80	1
5	83	1
5	84	1
5	90	1
5	91	2
5	93	2
5	94	1
5	98	1
6	12	1
6	13	1
6	16	1
6	24	1
6	28	1
6	30	1
6	33	1
6	37	1
6	38	1
6	43	1
6	44	1
6	45	1
6	59	1
6	66	1
6	68	1
6	76	1
6	77	1
6	79	1
6	81	1
6	88	1
6	89	1
6	98	1
6	103	2
6	108	1
7	8	1
7	9	2
7	12	1
7	13	1
7	24	2
7	25	1
7	29	1
7	31	1
7	32	1
7	36	1
7	41	1
7	44	1
7	46	1
7	49	1
7	51	1
7	52	1
7	56	1
7	57	1
7	66	1
7	70	2
7	71	1
7	79	1
7	80	1
7	81	1
7	86	1
7	88	1
7	90	2
7	91	1
7	98	1
7	103	1
7	104	1
8	9	1
8	17	1
8	18	1
8	27	1
8	31	1
8	37	1
8	41	1
8	42	1
8	48	1
8	49	1
8	51	2
8	52	2
8	53	2
8	56	2
8	57	3
8	58	1
8	59	1
8	60	2
8	61	1
8	62	1
8	63	1
8	70	3
8	76	2
8	86	1
8	91	1
8	97	1
8	102	2
8	108	1
8	109	1
8	110	1
9	12	2
9	17	1
9	18	1
9	19	1
9	20	1
9	25	1
9	29	2
9	31	2
9	41	2
9	42	1
9	44	1
9	47	1
9	51	1
9	52	1
9	53	1
9	55	1
9	57	2
9	60	1
9	63	1
9	69	2
9	70	1
9	75	3
9	80	4
9	81	3
9	83	1
9	87	1
9	91	1
9	94	1
9	95	2
9	96	1
9	110	1
10	16	1
10	25	1
10	33	1
10	40	1
10	41	2
10	42	2
10	45	1
10	46	2
10	47	4
10	61	1
10	62	1
10	66	1
10	70	1
10	72	1
10	74	2
10	80	1
10	83	1
10	86	1
10	97	1
10	102	2
10	105	1
10	109	2
11	12	1
11	18	2
11	20	1
11	25	2
11	26	1
11	38	1
11	41	1
11	48	1
11	55	1
11	57	1
11	63	2
11	66	1
11	68	1
11	74	2
11	75	1
11	80	1
11	82	1
11	84	1
11	92	1
11	103	1
11	109	1
12	13	1
12	19	1
12	20	1
12	24	1
12	30	2
12	31	1
12	34	1
12	40	1
12	41	1
12	42	4
12	47	1
12	51	2
12	54	1
12	55	1
12	56	1
12	57	1
12	63	1
12	69	1
12	71	1
12	72	2
12	80	3
12	81	2
12	85	1
12	86	3
12	87	1
12	92	2
12	93	3
12	94	1
12	96	1
12	97	1
12	102	1
12	104	2
12	107	1
13	14	1
13	16	1
13	18	1
13	19	1
13	22	1
13	23	1
13	24	2
13	28	1
13	29	1
13	30	2
13	32	1
13	33	1
13	38	1
13	40	1
13	41	2
13	42	4
13	50	3
13	51	3
13	52	1
13	55	1
13	57	5
13	62	1
13	63	1
13	66	1
13	67	1
13	68	2
13	70	2
13	73	1
13	75	1
13	76	1
13	77	2
13	79	1
13	80	1
13	82	1
13	84	1
13	85	3
13	86	1
13	88	1
13	91	1
13	93	4
13	99	1
13	103	1
13	104	1
13	107	1
13	108	1
13	109	2
13	110	2
14	15	1
14	16	1
14	24	1
14	27	1
14	33	1
14	38	1
14	42	2
14	55	2
14	56	1
14	59	1
14	62	2
14	66	2
14	82	1
14	91	1
14	92	1
14	102	1
14	103	1
15	16	2
15	19	1
15	25	1
15	26	1
15	36	1
15	42	1
15	46	1
15	47	1
15	49	1
15	56	1
15	59	2
15	61	1
15	66	1
15	70	1
15	75	1
15	78	2
15	83	1
15	88	3
15	92	1
15	98	1
15	100	2
15	102	1
15	103	1
16	26	1
16	28	1
16	30	1
16	32	1
16	33	2
16	42	1
16	56	1
16	59	1
16	66	1
16	68	1
16	72	1
16	77	1
16	78	1
16	80	1
16	83	1
16	86	1
16	88	1
16	92	1
16	98	1
16	100	1
16	102	1
16	103	2
16	108	1
17	19	1
17	22	1
17	24	1
17	25	1
17	27	1
17	29	2
17	34	1
17	41	2
17	42	2
17	44	1
17	45	1
17	48	2
17	49	1
17	51	1
17	53	2
17	54	1
17	55	2
17	57	1
17	69	2
17	75	2
17	76	1
17	80	3
17	81	2
17	83	2
17	86	1
17	88	1
17	91	1
17	93	1
17	98	1
17	104	1
17	108	1
18	22	1
18	25	1
18	26	1
18	42	1
18	44	1
18	47	2
18	48	2
18	51	1
18	57	2
18	60	1
18	62	1
18	63	1
18	68	1
18	84	2
18	93	1
18	97	1
18	103	1
18	109	1
19	20	2
19	21	1
19	23	1
19	25	1
19	30	1
19	36	1
19	37	1
19	38	1
19	41	2
19	42	1
19	43	1
19	46	1
19	47	1
19	51	4
19	54	1
19	55	1
19	57	1
19	61	2
19	62	1
19	66	1
19	75	1
19	78	1
19	80	1
19	81	1
19	88	2
19	94	2
19	95	1
19	100	2
19	102	2
19	104	1
19	105	1
19	110	3
20	23	1
20	40	1
20	49	1
20	51	2
20	57	2
20	63	1
20	73	1
20	75	1
20	80	1
20	87	2
20	92	1
20	94	1
20	99	1
20	110	2
21	27	1
21	30	1
21	35	1
21	38	1
21	41	1
21	43	1
21	51	1
21	62	1
21	65	1
21	66	1
21	70	2
21	72	1
21	74	1
21	80	1
21	81	1
21	94	3
21	95	1
21	100	1
21	102	2
21	106	1
21	109	1
22	24	1
22	25	1
22	33	1
22	42	1
22	44	1
22	48	1
22	49	1
22	51	2
22	64	1
22	69	1
22	83	3
22	84	1
22	87	1
22	88	1
22	89	1
22	91	2
22	93	1
22	98	1
22	106	1
23	31	1
23	39	1
23	40	2
23	51	4
23	55	1
23	56	1
23	63	2
23	79	3
23	88	1
23	91	2
23	92	1
23	99	1
23	106	2
23	107	2
23	110	2
24	25	2
24	26	1
24	31	1
24	32	1
24	33	3
24	35	1
24	36	1
24	40	1
24	41	1
24	42	1
24	44	1
24	47	1
24	49	1
24	52	1
24	54	1
24	55	1
24	57	2
24	62	1
24	69	2
24	71	1
24	72	1
24	73	2
24	74	1
24	76	1
24	79	2
24	83	1
24	86	2
24	88	3
24	90	2
24	91	1
24	94	1
24	97	1
24	98	2
24	102	1
24	103	1
24	104	1
24	106	1
25	27	1
25	28	1
25	31	1
25	32	1
25	36	2
25	42	2
25	44	1
25	46	2
25	47	2
25	48	1
25	49	1
25	54	1
25	55	1
25	61	1
25	63	1
25	69	1
25	70	2
25	74	3
25	78	1
25	80	1
25	81	1
25	83	2
25	86	1
25	88	2
25	90	1
25	94	1
25	96	1
25	98	1
25	100	1
25	103	1
