id,study,title,design,instrument,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
176,"Jiayang, 2021",Study on a new simulation model of evacuation beha,mixed,A+B,R,R,R,P,P,R,R,R,P,R
177,"Junaedi, 2013",Multi agent with multi behavior based on particle,simulation,B,,,,,,R,P,N,P,R
178,"Juniastuti, 2016",Crowd navigation using leader-follower algorithm,simulation,B,,,,,,R,P,N,R,P
179,"Kakizaki, 2015",Simulation and Experiment of Mass Evacuation to a,mixed,A+B,R,R,R,P,P,R,P,R,P,P
180,"Khalid, 2019",A Two-Phase Context-Aware Approach to Emergency Ev,simulation,B,,,,,,P,N,N,N,P
181,"Khamis, 2020",Optimized exit door locations for a safer emergenc,simulation,B,,,,,,R,P,N,R,P
182,"Klatt, 2024",Crowd-Related Considerations at Mass Gathering Eve,other,NA,,,,,,,,,,
183,"Le, 2017",Reinforcement learning approach for adapting compl,simulation,B,,,,,,R,P,R,R,P
184,"Li, 2016",Decision-Making and Group Behaviors in a Building,empirical,A,R,R,R,P,R,,,,,
185,"Li, 2019",Emergency evacuation with incomplete information i,simulation,B,,,,,,R,P,N,P,P
186,"Li, 2019",Group structures facilitate emergency evacuation,simulation,B,,,,,,R,P,N,R,P
187,"Li, 2020",Research on Efficient Evacuation during Earthquake,simulation,B,,,,,,R,P,N,R,P
188,"Li, 2020",Social Relation Network and group behavior based o,empirical,A,R,R,R,P,P,,,,,
189,"Li, 2021",Deep deterministic policy gradient algorithm for c,simulation,B,,,,,,R,P,R,P,P
190,"Li, 2021",Simulation of a pediatric hospital in evacuation c,simulation,B,,,,,,R,R,N,R,P
191,"Li, 2022",The effect of geometric layout of exit on escape m,simulation,B,,,,,,R,P,P,R,P
192,"Li, 2023",Pedestrian evacuation simulation in multi-exit cas,simulation,B,,,,,,R,P,N,R,P
193,"Li, 2024",Safety Indication Signs-Based Crowd Division and L,simulation,B,,,,,,R,P,P,R,R
194,"Lima, 2017",A cellular automata ant memory model of foraging i,other,B,,,,,,R,P,N,R,P
195,"Lin, 2018",Evacuation simulation with consideration of obstac,simulation,B,,,,,,R,P,N,R,P
196,"Liu, 2018",A social force model for the crowd evacuation in a,simulation,B,,,,,,R,R,N,R,P
197,"Liu, 2018",The effect of dedicated exit on the evacuation of,simulation,B,,,,,,R,R,N,R,P
198,"Liu, 2018",A path planning approach for crowd evacuation in b,simulation,B,,,,,,R,P,P,R,P
199,"Liu, 2018",A social force evacuation model driven by video da,simulation,B,,,,,,R,R,R,P,P
200,"Liu, 2018",An Evacuation Route Model of Crowd Based on Emotio,simulation,B,,,,,,R,P,P,R,P
201,"Liu, 2018",Crowd evacuation simulation approach based on navi,simulation,B,,,,,,R,P,P,R,P
202,"Liu, 2019",A Relationship-Based Pedestrian Social Groups Mode,simulation,B,,,,,,R,P,N,R,P
204,"Liu, 2022",Modeling the dynamics of pedestrian evacuation in,simulation,B,,,,,,R,R,R,R,P
205,"Lombardi, 2020",Nonverbal leadership emergence in walking groups,empirical,A,R,R,R,R,P,,,,,
206,"Long, 2020",Simulation-Based Model of Emergency Evacuation Gui,simulation,B,,,,,,R,P,N,R,P
207,"Lopez, 2021",CellEVAC An adaptive guidance system for crowd ev,simulation,B,,,,,,R,P,N,R,R
208,"Lopez, 2022",Adaptive cell-based evacuation systems for leader-,simulation,B,,,,,,R,P,N,R,R
209,"Lu, 2017",A study of pedestrian group behaviors in crowd eva,mixed,A+B,R,R,R,R,P,R,R,R,R,P
210,"Lu, 2021",Multi-agent modeling of crowd dynamics under mass,simulation,B,,,,,,R,R,R,R,P
211,"Lu, 2021","Swarm intelligence, social force and multi-agent m",simulation,B,,,,,,R,R,R,R,P
212,"Lu, 2024",Stochastic Optimal Intervention for Robot-Assisted,simulation,B,,,,,,R,P,N,R,P
213,"Luh, 2012",Modeling and Optimization of Building Emergency Ev,simulation,B,,,,,,R,P,P,R,R
