uptake_C,total_agents,iwd_agents,total_exited,iwd_exited,total_completion_rate,iwd_completion_rate,median_exit_time_s,max_exit_time_s,route_changes,uptake_agents,runtime_seconds,simulated_horizon_s,scenario_id,paired_total_exit_difference_from_C0,paired_iwd_exit_difference_from_C0
0.7,2096,987,2096,987,1.0,1.0,165.725,336.8,385,1481,175.894,336.8500000000423,10,80,80
0.0,2096,774,1889,683,0.90124,0.882429,151.65,359.75,0,0,211.25,360.0000000000476,11,0,0
0.1,2096,774,1966,714,0.937977,0.922481,150.45,359.75,69,226,196.29,360.0000000000476,11,77,31
0.3,2096,774,2053,743,0.979485,0.959948,154.95,359.75,190,643,193.529,360.0000000000476,11,164,60
0.5,2096,774,2093,772,0.998569,0.997416,153.7,358.9,312,1053,180.996,360.0000000000476,11,204,89
0.7,2096,774,2096,774,1.0,1.0,152.925,325.95,452,1481,183.856,326.00000000003985,11,207,91
0.0,2096,320,1547,249,0.738073,0.778125,149.6,359.6,0,0,226.918,360.0000000000476,12,0,0
0.1,2096,320,1625,252,0.775286,0.7875,150.45,359.95,110,232,232.071,360.0000000000476,12,78,3
0.3,2096,320,1773,271,0.845897,0.846875,155.3,359.8,293,631,205.938,360.0000000000476,12,226,22
0.5,2096,320,1973,308,0.941317,0.9625,157.75,359.75,495,1062,194.521,360.0000000000476,12,426,59
0.7,2096,320,2088,312,0.996183,0.975,159.275,358.55,671,1463,205.179,360.0000000000476,12,541,63
0.0,2096,471,1734,417,0.82729,0.88535,138.9,359.65,0,0,215.895,360.0000000000476,13,0,0
0.1,2096,471,1778,405,0.848282,0.859873,138.475,359.6,77,214,215.848,360.0000000000476,13,44,-12
0.3,2096,471,1905,433,0.908874,0.919321,138.35,359.6,218,609,205.357,360.0000000000476,13,171,16
0.5,2096,471,2072,468,0.98855,0.993631,142.5,359.6,400,1047,187.329,360.0000000000476,13,338,51
0.7,2096,471,2096,471,1.0,1.0,139.5,325.35,562,1460,197.022,325.4000000000397,13,362,54
0.0,2096,562,1765,478,0.84208,0.850534,139.0,359.6,0,0,213.736,360.0000000000476,14,0,0
0.1,2096,562,1847,501,0.881202,0.891459,141.6,359.6,75,213,207.335,360.0000000000476,14,82,23
0.3,2096,562,1993,539,0.950859,0.959075,147.85,359.6,236,651,202.232,360.0000000000476,14,228,61
0.5,2096,562,2093,559,0.998569,0.994662,151.8,354.8,389,1048,171.738,360.0000000000476,14,328,81
0.7,2096,562,2096,562,1.0,1.0,147.1,335.65,528,1455,187.303,335.70000000004205,14,331,84
0.0,2096,947,1989,847,0.94895,0.894403,175.1,359.95,0,0,207.444,360.0000000000476,15,0,0
0.1,2096,947,2024,876,0.965649,0.925026,172.325,359.9,36,172,190.113,360.0000000000476,15,35,29
0.3,2096,947,2071,923,0.988073,0.974657,171.05,359.8,151,583,189.264,360.0000000000476,15,82,76
0.5,2096,947,2083,935,0.993798,0.987328,172.5,359.65,260,1017,184.052,360.0000000000476,15,94,88
0.7,2096,947,2095,947,0.999523,1.0,172.2,348.1,362,1448,188.283,360.0000000000476,15,106,100
0.0,2096,53,1468,39,0.700382,0.735849,137.75,359.6,0,0,244.441,360.0000000000476,16,0,0
0.1,2096,53,1556,44,0.742366,0.830189,135.95,359.6,123,227,241.58,360.0000000000476,16,88,5
0.3,2096,53,1704,41,0.812977,0.773585,138.0,359.65,326,619,219.865,360.0000000000476,16,236,2
0.5,2096,53,1905,52,0.908874,0.981132,137.85,359.65,561,1045,202.614,360.0000000000476,16,437,13
0.7,2096,53,2066,53,0.985687,1.0,144.3,359.7,765,1427,204.916,360.0000000000476,16,598,14
0.0,2096,694,1799,591,0.858302,0.851585,153.6,359.65,0,0,216.175,360.0000000000476,17,0,0
0.1,2096,694,1853,600,0.884065,0.864553,152.05,359.65,73,210,202.038,360.0000000000476,17,54,9
0.3,2096,694,2000,659,0.954198,0.949568,157.2,359.65,209,639,199.352,360.0000000000476,17,201,68
0.5,2096,694,2082,680,0.993321,0.979827,161.7,359.15,329,1055,180.172,360.0000000000476,17,283,89
0.7,2096,694,2096,694,1.0,1.0,159.375,339.35,463,1446,192.842,339.4000000000429,17,297,103
0.0,2096,586,1797,500,0.857347,0.853242,132.4,359.7,0,0,236.331,360.0000000000476,18,0,0
0.1,2096,586,1867,523,0.890744,0.892491,132.0,359.7,71,209,203.979,360.0000000000476,18,70,23
0.3,2096,586,1969,544,0.939408,0.928328,134.05,359.8,200,605,194.183,360.0000000000476,18,172,44
0.5,2096,586,2091,581,0.997615,0.991468,136.05,351.4,363,1003,172.377,360.0000000000476,18,294,81
0.7,2096,586,2096,586,1.0,1.0,133.975,349.1,523,1444,157.903,349.1500000000451,18,299,86
0.0,2096,750,1947,692,0.928912,0.922667,139.95,359.6,0,0,221.063,360.0000000000476,19,0,0
0.1,2096,750,2007,716,0.957538,0.954667,140.2,359.6,69,195,196.039,360.0000000000476,19,60,24
0.3,2096,750,2093,747,0.998569,0.996,145.2,356.2,215,625,173.794,360.0000000000476,19,146,55
0.5,2096,750,2096,750,1.0,1.0,143.325,354.4,340,1067,161.084,354.4500000000463,19,149,58
0.7,2096,750,2096,750,1.0,1.0,138.3,304.2,460,1462,157.929,304.2500000000349,19,149,58
0.0,2096,2,1464,2,0.698473,1.0,134.825,359.8,0,0,264.918,360.0000000000476,20,0,0
0.1,2096,2,1538,2,0.733779,1.0,131.425,359.8,112,193,241.112,360.0000000000476,20,74,0
0.3,2096,2,1703,2,0.8125,1.0,131.0,359.8,338,622,207.92,360.0000000000476,20,239,0
0.5,2096,2,1879,2,0.896469,1.0,133.45,359.9,569,1059,188.785,360.0000000000476,20,415,0
0.7,2096,2,2079,2,0.991889,1.0,139.45,359.75,810,1489,169.759,360.0000000000476,20,615,0
0.0,2096,269,1592,222,0.759542,0.825279,132.0,359.8,0,0,249.219,360.0000000000476,21,0,0
0.1,2096,269,1661,228,0.792462,0.847584,132.15,359.8,88,201,218.804,360.0000000000476,21,69,6
0.3,2096,269,1817,234,0.866889,0.869888,132.7,359.9,282,612,201.569,360.0000000000476,21,225,12
0.5,2096,269,2009,266,0.958492,0.988848,131.35,359.9,492,1066,172.379,360.0000000000476,21,417,44
0.7,2096,269,2093,266,0.998569,0.988848,134.15,358.0,663,1456,165.751,360.0000000000476,21,501,44
0.0,2096,20,1425,13,0.679866,0.65,141.6,359.85,0,0,255.081,360.0000000000476,22,0,0
0.1,2096,20,1501,15,0.716126,0.75,143.2,359.8,100,177,225.821,360.0000000000476,22,76,2
0.3,2096,20,1671,15,0.797233,0.75,143.75,359.8,328,589,207.738,360.0000000000476,22,246,2
0.5,2096,20,1854,20,0.884542,1.0,145.925,359.8,556,1004,187.975,360.0000000000476,22,429,7
0.7,2096,20,2027,20,0.96708,1.0,150.8,359.6,759,1386,195.825,360.0000000000476,22,602,7
0.0,2096,172,1491,125,0.711355,0.726744,149.25,359.75,0,0,246.841,360.0000000000476,23,0,0
0.1,2096,172,1549,126,0.739027,0.732558,152.0,359.75,89,185,232.383,360.0000000000476,23,58,1
0.3,2096,172,1728,141,0.824427,0.819767,153.45,359.6,317,619,217.234,360.0000000000476,23,237,16
0.5,2096,172,1892,158,0.902672,0.918605,157.4,359.75,505,1023,188.651,360.0000000000476,23,401,33
0.7,2096,172,2061,165,0.983302,0.959302,160.75,359.95,728,1464,187.156,360.0000000000476,23,570,40
0.0,2096,115,1528,88,0.729008,0.765217,121.95,359.75,0,0,265.589,360.0000000000476,24,0,0
0.1,2096,115,1605,93,0.765744,0.808696,120.25,359.75,97,192,239.597,360.0000000000476,24,77,5
0.3,2096,115,1792,93,0.854962,0.808696,119.05,359.75,333,638,206.028,360.0000000000476,24,264,5
0.5,2096,115,1985,111,0.947042,0.965217,120.75,359.75,567,1074,183.79,360.0000000000476,24,457,23
0.7,2096,115,2094,115,0.999046,1.0,123.3,358.85,787,1510,193.817,360.0000000000476,24,566,27
0.0,2096,712,1817,609,0.866889,0.855337,154.95,359.8,0,0,217.422,360.0000000000476,25,0,0
0.1,2096,712,1895,645,0.904103,0.905899,159.4,359.8,75,229,199.286,360.0000000000476,25,78,36
0.3,2096,712,2036,680,0.971374,0.955056,163.7,359.75,228,673,184.21,360.0000000000476,25,219,71
0.5,2096,712,2092,709,0.998092,0.995787,161.725,359.0,347,1073,174.721,360.0000000000476,25,275,100
0.7,2096,712,2095,711,0.999523,0.998596,161.7,338.9,478,1483,176.152,360.0000000000476,25,278,102
0.0,2096,523,1707,432,0.814408,0.826004,144.5,359.75,0,0,231.34,360.0000000000476,26,0,0
0.1,2096,523,1754,434,0.836832,0.829828,146.075,359.7,73,215,208.406,360.0000000000476,26,47,2
0.3,2096,523,1924,482,0.917939,0.921606,147.725,359.7,239,618,192.508,360.0000000000476,26,217,50
0.5,2096,523,2070,517,0.987595,0.988528,154.125,359.7,396,1022,183.381,360.0000000000476,26,363,85
0.7,2096,523,2096,523,1.0,1.0,150.475,350.65,555,1454,157.813,350.70000000004546,26,389,91
0.0,2096,1032,1993,929,0.950859,0.900194,162.3,359.9,0,0,204.729,360.0000000000476,27,0,0
0.1,2096,1032,2010,946,0.958969,0.916667,159.575,359.85,72,269,185.729,360.0000000000476,27,17,17
0.3,2096,1032,2067,1003,0.986164,0.971899,159.25,359.7,180,679,186.489,360.0000000000476,27,74,74
0.5,2096,1032,2087,1023,0.995706,0.991279,162.9,359.3,287,1069,168.654,360.0000000000476,27,94,94
0.7,2096,1032,2096,1032,1.0,1.0,164.65,350.55,383,1473,155.425,350.60000000004544,27,103,103
0.0,2096,236,1590,193,0.758588,0.817797,125.75,359.75,0,0,256.816,360.0000000000476,28,0,0
0.1,2096,236,1673,199,0.798187,0.84322,125.05,359.75,95,206,226.136,360.0000000000476,28,83,6
0.3,2096,236,1840,209,0.877863,0.885593,121.65,359.6,320,641,197.412,360.0000000000476,28,250,16
