gen,J,rmse_v,ks_exit,dte,err_exit,elapsed_min
1,8.579909834007541,0.1376036727308365,0.3247889398098703,2.153872735645005,0.22964144458046898,0.3963881572087606
2,8.579909834007541,0.13736238783499133,0.3490699690753012,2.2138007597342426,0.21059382553284994,0.7572587211926778
3,8.579909834007541,0.1738085399651956,0.3638553014730756,2.222196616524642,0.21059382553284994,1.0301052649815878
4,8.158364140682862,0.11308930769964992,0.2934298691740822,2.2592832463625054,0.24184382553284994,1.3171020984649657
5,7.7780723360457245,0.06582813597789748,0.3208519887586254,2.2258328428371925,0.21059382553284994,1.6738958438237508
6,7.7780723360457245,0.11616295395146867,0.3054641748776849,2.2114154783869147,0.21059382553284994,2.0679378787676495
7,7.7310987110188645,0.05553110148360334,0.3272498564369809,2.1435561423961498,0.21059382553284994,2.4276888370513916
8,7.399264044420443,0.08825516215778496,0.31383740552452993,2.1905287780912976,0.16455724016699627,2.756801768143972
9,7.30662762035866,0.11255514810620995,0.30525799688373134,2.1856763395302052,0.14601049219951662,3.3196125586827594
10,7.30662762035866,0.12664551583812061,0.32759806517913714,2.2068520089878274,0.14601049219951662,3.773791201909383
11,7.30662762035866,0.11020487785788263,0.3069049843896298,2.1956608749621536,0.14601049219951662,4.212138060728709
12,7.30662762035866,0.12602318675966545,0.31653925017567563,2.1623500394601662,0.14601049219951662,4.4972128033638
13,7.276735681796779,0.1036610833980287,0.30984041431448284,2.1595664384406765,0.14601049219951662,4.79900225798289
14,6.443756106091805,0.06416471104144793,0.29429849810016934,2.207094731664914,0.11267715886618328,5.080130155881246
15,6.443756106091805,0.12924008238034754,0.2989961462712366,2.167779779061518,0.14601049219951662,5.399123954772949
16,6.443756106091805,0.08779270762364297,0.30662908702688446,2.227924918857479,0.18122390683366296,5.751906319459279
17,6.443756106091805,0.09323665982186921,0.3037894985520152,2.1512367620155897,0.16267715886618328,6.122605641682942
18,6.443756106091805,0.13871293726133052,0.30668832306131316,2.2029215784648764,0.14601049219951662,6.510423175493876
19,6.443756106091805,0.07244535871102685,0.298624924135578,2.1579329284813955,0.14601049219951662,6.855534370740255
20,6.443756106091805,0.05847718044031516,0.31139410483876157,2.187070263801064,0.14601049219951662,7.199138875802358
21,6.443756106091805,0.08667763553968152,0.30058676081764424,2.18674187652613,0.16267715886618328,7.512870744864146
22,6.443756106091805,0.059012292181096666,0.29981429908792384,2.206965855207079,0.14601049219951662,7.821048518021901
23,6.443756106091805,0.07845591007815828,0.2880485470244673,2.2112211941411295,0.16267715886618328,8.139642095565796
24,6.443756106091805,0.07022244675754172,0.3077252749329026,2.1935221334392794,0.18122390683366296,8.431213402748108
